Time index,Year,Month,Day,Hour,Minute,Day of year,Minute of day,Time resolution_min,Load power_MW,Wind power_MW,PV power_MW,Hydropower output_MW,Pumped-storage generation_MW,Pumped-storage pumping_MW,Stored energy_MWh,Net load_MW,Curtailment_MW,Total supply_MW,Power deficit_MW,Power surplus_MW,Total supply with slack_MW,Power-balance error_MW,Power-deficit flag,TOU season code,General TOU period code,General TOU relative-price index,General TOU tariff_CNY_per_MWh,Yalong River proxy TOU period code,Yalong River proxy relative-price index,Yalong River proxy tariff_CNY_per_MWh,Tariff-policy applicability code
28,2025,1,2,3,0,2,180,60,9720.75000000,646.51000000,0.00000000,9074.24000000,0.00000000,0.00000000,0.00000000,9074.24000000,0.00000000,9720.75000000,0.00000000,0.00000000,9720.75000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
29,2025,1,2,4,0,2,240,60,9770.77000000,668.82000000,0.00000000,9101.96000000,0.00000000,0.00000000,0.00000000,9101.96000000,0.00000000,9770.77000000,0.00000000,0.00000000,9770.77000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
30,2025,1,2,5,0,2,300,60,9890.18000000,690.18000000,0.00000000,9199.99000000,0.00000000,0.00000000,0.00000000,9199.99000000,0.00000000,9890.18000000,0.00000000,0.00000000,9890.18000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
31,2025,1,2,6,0,2,360,60,10066.32000000,709.31000000,0.00000000,9357.01000000,0.00000000,0.00000000,0.00000000,9357.01000000,0.00000000,10066.32000000,0.00000000,0.00000000,10066.32000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
32,2025,1,2,7,0,2,420,60,10264.71000000,724.98000000,0.00000000,9539.73000000,0.00000000,0.00000000,0.00000000,9539.73000000,0.00000000,10264.71000000,0.00000000,0.00000000,10264.71000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
33,2025,1,2,8,0,2,480,60,10431.66000000,736.17000000,269.13000000,9426.37000000,0.00000000,0.00000000,0.00000000,9426.37000000,0.00000000,10431.66000000,0.00000000,0.00000000,10431.66000000,0.00000000,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
34,2025,1,2,9,0,2,540,60,10515.21000000,742.10000000,752.12000000,9021.00000000,0.00000000,0.00000000,0.00000000,9021.00000000,0.00000000,10515.21000000,0.00000000,0.00000000,10515.21000000,0.00000000,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
35,2025,1,2,10,0,2,600,60,10496.81000000,742.30000000,1199.12000000,8555.39000000,0.00000000,0.00000000,0.00000000,8555.39000000,0.00000000,10496.81000000,0.00000000,0.00000000,10496.81000000,0.00000000,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
36,2025,1,2,11,0,2,660,60,10404.65000000,736.64000000,1454.05000000,8837.47000000,0.00000000,623.51000000,548.69000000,8213.95000000,0.00000000,10404.65000000,0.00000000,0.00000000,10404.65000000,0.00000000,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
37,2025,1,2,12,0,2,720,60,10292.47000000,725.33000000,1542.71000000,8670.11000000,0.00000000,645.68000000,1116.89000000,8024.43000000,0.00000000,10292.47000000,0.00000000,0.00000000,10292.47000000,0.00000000,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
38,2025,1,2,13,0,2,780,60,10205.03000000,708.92000000,1490.80000000,8638.02000000,0.00000000,632.70000000,1673.66000000,8005.32000000,0.00000000,10205.03000000,0.00000000,0.00000000,10205.03000000,0.00000000,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
39,2025,1,2,14,0,2,840,60,10163.73000000,688.25000000,1216.94000000,8822.78000000,0.00000000,564.24000000,2170.19000000,8258.54000000,0.00000000,10163.73000000,0.00000000,0.00000000,10163.73000000,0.00000000,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
40,2025,1,2,15,0,2,900,60,10179.77000000,664.42000000,741.10000000,9219.53000000,0.00000000,445.27000000,2562.03000000,8774.25000000,0.00000000,10179.77000000,0.00000000,0.00000000,10179.77000000,0.00000000,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
41,2025,1,2,16,0,2,960,60,10271.68000000,638.71000000,262.49000000,9370.48000000,0.00000000,0.00000000,2562.03000000,9370.48000000,0.00000000,10271.68000000,0.00000000,0.00000000,10271.68000000,0.00000000,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
42,2025,1,2,17,0,2,1020,60,10457.73000000,612.49000000,0.00000000,9845.24000000,0.00000000,0.00000000,2562.03000000,9845.24000000,0.00000000,10457.73000000,0.00000000,0.00000000,10457.73000000,0.00000000,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
43,2025,1,2,18,0,2,1080,60,10716.66000000,587.12000000,0.00000000,9936.00000000,0.00000000,0.00000000,2562.03000000,10129.53000000,0.00000000,10523.12000000,193.54000000,0.00000000,10716.66000000,0.00000000,2,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
44,2025,1,2,19,0,2,1140,60,10957.50000000,563.92000000,0.00000000,9193.58000000,1200.00000000,0.00000000,1198.40000000,10393.58000000,0.00000000,10957.50000000,0.00000000,0.00000000,10957.50000000,0.00000000,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
45,2025,1,2,20,0,2,1200,60,11057.38000000,544.01000000,0.00000000,9936.00000000,0.00000000,0.00000000,1198.40000000,10513.37000000,0.00000000,10480.01000000,577.37000000,0.00000000,11057.38000000,0.00000000,2,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
46,2025,1,2,21,0,2,1260,60,10957.47000000,528.28000000,0.00000000,9936.00000000,0.00000000,0.00000000,1198.40000000,10429.19000000,0.00000000,10464.28000000,493.19000000,0.00000000,10957.47000000,0.00000000,2,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
47,2025,1,2,22,0,2,1320,60,10716.49000000,517.36000000,0.00000000,9936.00000000,0.00000000,0.00000000,1198.40000000,10199.13000000,0.00000000,10453.36000000,263.13000000,0.00000000,10716.49000000,0.00000000,2,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
48,2025,1,2,23,0,2,1380,60,10456.86000000,511.52000000,0.00000000,9936.00000000,0.00000000,0.00000000,1198.40000000,9945.34000000,0.00000000,10447.52000000,9.34000000,0.00000000,10456.86000000,0.00000000,2,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
49,2025,1,3,0,0,3,0,60,9870.00000000,540.43000000,0.00000000,9329.57000000,0.00000000,0.00000000,1198.40000000,9329.57000000,0.00000000,9870.00000000,0.00000000,0.00000000,9870.00000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
50,2025,1,3,1,0,3,60,60,9787.09000000,555.54000000,0.00000000,9231.55000000,0.00000000,0.00000000,1198.40000000,9231.55000000,0.00000000,9787.09000000,0.00000000,0.00000000,9787.09000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
51,2025,1,3,2,0,3,120,60,9725.74000000,573.18000000,0.00000000,9152.56000000,0.00000000,0.00000000,1198.40000000,9152.56000000,0.00000000,9725.74000000,0.00000000,0.00000000,9725.74000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
52,2025,1,3,3,0,3,180,60,9711.12000000,592.31000000,0.00000000,9118.82000000,0.00000000,0.00000000,1198.40000000,9118.82000000,0.00000000,9711.12000000,0.00000000,0.00000000,9711.12000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
53,2025,1,3,4,0,3,240,60,9761.15000000,611.70000000,0.00000000,9149.45000000,0.00000000,0.00000000,1198.40000000,9149.45000000,0.00000000,9761.15000000,0.00000000,0.00000000,9761.15000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
54,2025,1,3,5,0,3,300,60,9880.55000000,630.08000000,0.00000000,9250.47000000,0.00000000,0.00000000,1198.40000000,9250.47000000,0.00000000,9880.55000000,0.00000000,0.00000000,9880.55000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
55,2025,1,3,6,0,3,360,60,10056.69000000,646.19000000,0.00000000,9410.50000000,0.00000000,0.00000000,1198.40000000,9410.50000000,0.00000000,10056.69000000,0.00000000,0.00000000,10056.69000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
56,2025,1,3,7,0,3,420,60,10255.08000000,658.85000000,0.00000000,9596.23000000,0.00000000,0.00000000,1198.40000000,9596.23000000,0.00000000,10255.08000000,0.00000000,0.00000000,10255.08000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
57,2025,1,3,8,0,3,480,60,10422.03000000,667.09000000,286.21000000,9468.74000000,0.00000000,0.00000000,1198.40000000,9468.74000000,0.00000000,10422.03000000,0.00000000,0.00000000,10422.03000000,0.00000000,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
58,2025,1,3,9,0,3,540,60,10505.59000000,670.16000000,755.32000000,9080.11000000,0.00000000,0.00000000,1198.40000000,9080.11000000,0.00000000,10505.59000000,0.00000000,0.00000000,10505.59000000,0.00000000,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
