Time index,Year,Month,Day,Hour,Minute,Day of year,Minute of day,Time resolution_min,Load power_MW,Wind power_MW,PV power_MW,Hydropower output_MW,Pumped-storage generation_MW,Pumped-storage pumping_MW,Stored energy_MWh,Net load_MW,Curtailment_MW,Total supply_MW,Power deficit_MW,Power surplus_MW,Total supply with slack_MW,Power-balance error_MW,Power-deficit flag,Scenario index,TOU season code,General TOU period code,General TOU relative-price index,General TOU tariff_CNY_per_MWh,Yalong River proxy TOU period code,Yalong River proxy relative-price index,Yalong River proxy tariff_CNY_per_MWh,Tariff-policy applicability code
54,2025,7,15,5,0,196,300,60,9034.12000000,273.14000000,0.03000000,8760.95000000,0.00000000,0.00000000,845.73000000,8760.95000000,0.00000000,9034.12000000,0.00000000,0.00000000,9034.12000000,0.00000000,1,3,3,1,0.40000000,180.00000000,1,0.40000000,180.00000000,2
55,2025,7,15,6,0,196,360,60,9210.26000000,293.24000000,308.92000000,8608.10000000,0.00000000,0.00000000,845.73000000,8608.10000000,0.00000000,9210.26000000,0.00000000,0.00000000,9210.26000000,0.00000000,1,3,3,1,0.40000000,180.00000000,1,0.40000000,180.00000000,2
56,2025,7,15,7,0,196,420,60,9408.65000000,309.91000000,770.45000000,8328.29000000,0.00000000,0.00000000,845.73000000,8328.29000000,0.00000000,9408.65000000,0.00000000,0.00000000,9408.65000000,0.00000000,1,3,3,2,1.00000000,450.00000000,2,1.00000000,450.00000000,2
57,2025,7,15,8,0,196,480,60,9575.60000000,322.11000000,1280.82000000,7972.67000000,0.00000000,0.00000000,845.73000000,7972.67000000,0.00000000,9575.60000000,0.00000000,0.00000000,9575.60000000,0.00000000,1,3,3,2,1.00000000,450.00000000,2,1.00000000,450.00000000,2
58,2025,7,15,9,0,196,540,60,9659.16000000,329.05000000,1857.75000000,7472.36000000,0.00000000,0.00000000,845.73000000,7472.36000000,0.00000000,9659.16000000,0.00000000,0.00000000,9659.16000000,0.00000000,1,3,3,2,1.00000000,450.00000000,2,1.00000000,450.00000000,2
59,2025,7,15,10,0,196,600,60,9640.75000000,330.24000000,2379.72000000,6930.79000000,0.00000000,0.00000000,845.73000000,6930.79000000,0.00000000,9640.75000000,0.00000000,0.00000000,9640.75000000,0.00000000,1,3,3,2,1.00000000,450.00000000,2,1.00000000,450.00000000,2
60,2025,7,15,11,0,196,660,60,9548.59000000,325.54000000,2625.99000000,7513.56000000,0.00000000,916.50000000,1652.25000000,6597.06000000,0.00000000,9548.59000000,0.00000000,0.00000000,9548.59000000,0.00000000,1,3,3,3,1.60000000,720.00000000,3,1.60000000,720.00000000,2
61,2025,7,15,12,0,196,720,60,9436.42000000,315.14000000,2583.47000000,7443.67000000,0.00000000,905.87000000,2449.41000000,6537.81000000,0.00000000,9436.41000000,0.01000000,0.00000000,9436.42000000,0.00000000,2,3,3,3,1.60000000,720.00000000,3,1.60000000,720.00000000,2
62,2025,7,15,13,0,196,780,60,9348.97000000,299.58000000,2448.13000000,7473.29000000,0.00000000,872.03000000,3216.80000000,6601.26000000,0.00000000,9348.97000000,0.00000000,0.00000000,9348.97000000,0.00000000,1,3,3,4,1.92000000,864.00000000,3,1.60000000,720.00000000,2
63,2025,7,15,14,0,196,840,60,9307.67000000,279.70000000,2281.68000000,7576.72000000,0.00000000,830.42000000,3947.57000000,6746.30000000,0.00000000,9307.68000000,0.00000000,0.01000000,9307.68000000,0.00000000,1,3,3,3,1.60000000,720.00000000,3,1.60000000,720.00000000,2
64,2025,7,15,15,0,196,900,60,9323.71000000,256.57000000,1937.58000000,7873.95000000,0.00000000,744.39000000,4602.64000000,7129.56000000,0.00000000,9323.71000000,0.00000000,0.00000000,9323.71000000,0.00000000,1,3,3,3,1.60000000,720.00000000,3,1.60000000,720.00000000,2
65,2025,7,15,16,0,196,960,60,9415.63000000,231.48000000,1373.87000000,7810.28000000,0.00000000,0.00000000,4602.64000000,7810.28000000,0.00000000,9415.63000000,0.00000000,0.00000000,9415.63000000,0.00000000,1,3,3,3,1.60000000,720.00000000,3,1.60000000,720.00000000,2
66,2025,7,15,17,0,196,1020,60,9601.67000000,205.77000000,770.45000000,8625.45000000,0.00000000,0.00000000,4602.64000000,8625.45000000,0.00000000,9601.67000000,0.00000000,0.00000000,9601.67000000,0.00000000,1,3,3,3,1.60000000,720.00000000,3,1.60000000,720.00000000,2
67,2025,7,15,18,0,196,1080,60,9860.60000000,180.81000000,288.00000000,9391.79000000,0.00000000,0.00000000,4602.64000000,9391.79000000,0.00000000,9860.60000000,0.00000000,0.00000000,9860.60000000,0.00000000,1,3,3,2,1.00000000,450.00000000,2,1.00000000,450.00000000,2
68,2025,7,15,19,0,196,1140,60,10101.44000000,157.90000000,0.03000000,8743.51000000,1200.00000000,0.00000000,3239.00000000,9943.51000000,0.00000000,10101.44000000,0.00000000,0.00000000,10101.44000000,0.00000000,1,3,3,2,1.00000000,450.00000000,2,1.00000000,450.00000000,2
69,2025,7,15,20,0,196,1200,60,10201.32000000,138.17000000,0.00000000,8863.15000000,1200.00000000,0.00000000,1875.36000000,10063.15000000,0.00000000,10201.32000000,0.00000000,0.00000000,10201.32000000,0.00000000,1,3,3,3,1.60000000,720.00000000,3,1.60000000,720.00000000,2
70,2025,7,15,21,0,196,1260,60,10101.41000000,122.51000000,0.00000000,8778.91000000,1200.00000000,0.00000000,511.73000000,9978.91000000,0.00000000,10101.42000000,0.00000000,0.01000000,10101.42000000,0.00000000,1,3,3,4,1.92000000,864.00000000,3,1.60000000,720.00000000,2
71,2025,7,15,22,0,196,1320,60,9860.44000000,111.52000000,0.00000000,9748.91000000,0.00000000,0.00000000,511.73000000,9748.91000000,0.00000000,9860.43000000,0.01000000,0.00000000,9860.44000000,0.00000000,2,3,3,4,1.92000000,864.00000000,3,1.60000000,720.00000000,2
72,2025,7,15,23,0,196,1380,60,9600.80000000,105.51000000,0.00000000,9495.30000000,0.00000000,0.00000000,511.73000000,9495.30000000,0.00000000,9600.81000000,0.00000000,0.01000000,9600.81000000,0.00000000,1,3,3,2,1.00000000,450.00000000,2,1.00000000,450.00000000,2
73,2025,10,15,0,0,288,0,60,10037.05000000,455.30000000,0.00000000,9581.75000000,0.00000000,0.00000000,629.59000000,9581.75000000,0.00000000,10037.05000000,0.00000000,0.00000000,10037.05000000,0.00000000,1,4,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,2
74,2025,10,15,1,0,288,60,60,9954.15000000,463.54000000,0.00000000,9490.61000000,0.00000000,0.00000000,629.59000000,9490.61000000,0.00000000,9954.15000000,0.00000000,0.00000000,9954.15000000,0.00000000,1,4,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,2
75,2025,10,15,2,0,288,120,60,9892.79000000,474.33000000,0.00000000,9418.46000000,0.00000000,0.00000000,629.59000000,9418.46000000,0.00000000,9892.79000000,0.00000000,0.00000000,9892.79000000,0.00000000,1,4,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,2
76,2025,10,15,3,0,288,180,60,9878.18000000,486.72000000,0.00000000,9391.45000000,0.00000000,0.00000000,629.59000000,9391.45000000,0.00000000,9878.17000000,0.01000000,0.00000000,9878.18000000,0.00000000,2,4,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,2
77,2025,10,15,4,0,288,240,60,9928.20000000,499.60000000,0.00000000,9428.60000000,0.00000000,0.00000000,629.59000000,9428.60000000,0.00000000,9928.20000000,0.00000000,0.00000000,9928.20000000,0.00000000,1,4,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,2
78,2025,10,15,5,0,288,300,60,10047.60000000,511.77000000,0.00000000,9535.83000000,0.00000000,0.00000000,629.59000000,9535.83000000,0.00000000,10047.60000000,0.00000000,0.00000000,10047.60000000,0.00000000,1,4,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,2
79,2025,10,15,6,0,288,360,60,10223.74000000,522.06000000,0.00000000,9701.68000000,0.00000000,0.00000000,629.59000000,9701.68000000,0.00000000,10223.74000000,0.00000000,0.00000000,10223.74000000,0.00000000,1,4,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,2
80,2025,10,15,7,0,288,420,60,10422.13000000,529.38000000,127.48000000,9765.27000000,0.00000000,0.00000000,629.59000000,9765.27000000,0.00000000,10422.13000000,0.00000000,0.00000000,10422.13000000,0.00000000,1,4,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,2
81,2025,10,15,8,0,288,480,60,10589.09000000,532.83000000,591.67000000,9464.58000000,0.00000000,0.00000000,629.59000000,9464.58000000,0.00000000,10589.08000000,0.01000000,0.00000000,10589.09000000,0.00000000,2,4,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,2
